公司代號,出表日期,公司名稱,產業別,當月營收,上月營收
2239,1110912,英利-KY,汽車工業,2368562,2170666
2241,1110912,艾姆勒,汽車工業,50098,50028
2243,1110912,宏旭-KY,汽車工業,87687,176610
2250,1110912,IKKA-KY,汽車工業,255471,243087
2301,1110912,光寶科,電腦及週邊設備業,15434850,14799908
2302,1110912,麗正,半導體業,81810,81749
2303,1110912,聯電,半導體業,25346076,24826685
2305,1110912,全友,電腦及週邊設備業,65241,60111
2312,1110912,金寶,其他電子業,16484774,15370766
2313,1110912,華通,電子零組件業,7188397,6888468
2314,1110912,台揚,通信網路業,431594,421381
2316,1110912,楠梓電,電子零組件業,484579,384907
2317,1110912,鴻海,其他電子業,448906316,475099076
2323,1110912,中環,光電業,703963,624190
2324,1110912,仁寶,電腦及週邊設備業,88842373,97630554
2327,1110912,國巨,電子零組件業,10175610,10410213
2328,1110912,廣宇,電子零組件業,2177265,1885425
2329,1110912,華泰,半導體業,1327389,1313341
2330,1110912,台積電,半導體業,218132391,186762689
2331,1110912,精英,電腦及週邊設備業,2617625,2740290
2332,1110912,友訊,通信網路業,1447895,1404034
2337,1110912,旺宏,半導體業,3727862,3604068
2338,1110912,光罩,半導體業,697223,670978
2340,1110912,台亞,半導體業,354487,363382
2342,1110912,茂矽,半導體業,190849,191600
2344,1110912,華邦電,半導體業,7402743,7390832
2345,1110912,智邦,通信網路業,6391814,6840989
2347,1110912,聯強,電子通路業,35920894,32768594
2348,1110912,海悅,其他,417930,341010
2349,1110912,錸德,光電業,686466,699359
2351,1110912,順德,半導體業,988150,985729
2352,1110912,佳世達,電腦及週邊設備業,19898793,20401065
2353,1110912,宏碁,電腦及週邊設備業,20241042,17458555
2354,1110912,鴻準,其他電子業,5553869,5448347
2355,1110912,敬鵬,電子零組件業,1474478,1355517
2356,1110912,英業達,電腦及週邊設備業,44375400,47109534
2357,1110912,華碩,電腦及週邊設備業,48226687,36753188
2358,1110912,廷鑫,其他,111234,115744
2359,1110912,所羅門,其他電子業,339190,311140
2360,1110912,致茂,其他電子業,2311564,2056033
2362,1110912,藍天,電腦及週邊設備業,1925210,1714848
2363,1110912,矽統,半導體業,11419,14579
2364,1110912,倫飛,電腦及週邊設備業,84145,77669
2365,1110912,昆盈,電腦及週邊設備業,108515,130910
2367,1110912,燿華,電子零組件業,1888943,1756020
2368,1110912,金像電,電子零組件業,2960443,2667513
2369,1110912,菱生,半導體業,453201,490820
2373,1110912,震旦行,其他電子業,1173846,1253904
2374,1110912,佳能,光電業,496358,461480
2375,1110912,凱美,電子零組件業,497713,528019
2376,1110912,技嘉,電腦及週邊設備業,7896900,7435303
2377,1110912,微星,電腦及週邊設備業,12564059,13011506
2379,1110912,瑞昱,半導體業,10398019,9790003
2380,1110912,虹光,電腦及週邊設備業,259548,210220
2382,1110912,廣達,電腦及週邊設備業,131869030,129459679
2383,1110912,台光電,電子零組件業,3233476,3295478
2385,1110912,群光,電子零組件業,10261684,10302508
2387,1110912,精元,電腦及週邊設備業,2558851,2552948
2388,1110912,威盛,半導體業,983557,585607
2390,1110912,云辰,其他電子業,44727,43708
2392,1110912,正崴,電子零組件業,8025226,7721549
2393,1110912,億光,光電業,1562931,1638776
2395,1110912,研華,電腦及週邊設備業,6236122,5968194
2397,1110912,友通,電腦及週邊設備業,1294073,1454871
2402,1110912,毅嘉,電子零組件業,701975,600851
2405,1110912,輔信,電腦及週邊設備業,118183,145978
2408,1110912,南亞科,半導體業,3419118,4396393
2409,1110912,友達,光電業,16021445,17431035
2413,1110912,環科,電子零組件業,442168,411995
2414,1110912,精技,電子通路業,2361914,2375085
2415,1110912,錩新,電子零組件業,170344,179800
2417,1110912,圓剛,電腦及週邊設備業,284791,374541
2419,1110912,仲琦,通信網路業,1018128,937781
2421,1110912,建準,電子零組件業,1098401,1209716
2423,1110912,固緯,其他電子業,237725,225319
2424,1110912,隴華,電腦及週邊設備業,2429,7629
2425,1110912,承啟,電腦及週邊設備業,537114,478478
2427,1110912,三商電,資訊服務業,256713,254536
2428,1110912,興勤,電子零組件業,645334,598600
2429,1110912,銘旺科,光電業,39483,40687
2430,1110912,燦坤,電子通路業,1758229,1991245
2431,1110912,聯昌,電子零組件業,91302,120867
2433,1110912,互盛電,其他電子業,258754,271760
2434,1110912,統懋,半導體業,7716,7060
2436,1110912,偉詮電,半導體業,194038,192134
2438,1110912,翔耀,光電業,11792,16004
2439,1110912,美律,通信網路業,3716353,3290225
2440,1110912,太空梭,電子零組件業,228254,207441
2441,1110912,超豐,半導體業,1237752,1262225
2442,1110912,新美齊,電腦及週邊設備業,9811,9867
2444,1110912,兆勁,通信網路業,150337,113399
2449,1110912,京元電子,半導體業,2891833,3196133
2450,1110912,神腦,通信網路業,2512334,2393763
2451,1110912,創見,半導體業,1003703,1024394
2453,1110912,凌群,資訊服務業,446950,421165
2454,1110912,聯發科,半導體業,44699654,40890418
2455,1110912,全新,通信網路業,173020,190831
2457,1110912,飛宏,電子零組件業,1346161,1180373
2458,1110912,義隆,半導體業,843824,1076225
2459,1110912,敦吉,其他電子業,814858,766310
2460,1110912,建通,電子零組件業,184507,203088
2461,1110912,光群雷,其他電子業,518532,511005
2464,1110912,盟立,其他電子業,951871,951112
2465,1110912,麗臺,電腦及週邊設備業,291995,344049
2467,1110912,志聖,電子零組件業,497632,447143
2471,1110912,資通,資訊服務業,68149,74254
2472,1110912,立隆電,電子零組件業,798569,880929
2474,1110912,可成,其他電子業,2870083,2821398
2476,1110912,鉅祥,電子零組件業,632854,649311
2477,1110912,美隆電,其他電子業,201654,318855
2478,1110912,大毅,電子零組件業,369938,348427
2480,1110912,敦陽科,資訊服務業,576222,512430
2481,1110912,強茂,半導體業,1004167,1113783
2482,1110912,連宇,其他電子業,114766,85375
2483,1110912,百容,電子零組件業,184960,190205
2484,1110912,希華,電子零組件業,266354,312326
2485,1110912,兆赫,通信網路業,655975,589100
2486,1110912,一詮,光電業,413832,443616
2488,1110912,漢平,其他電子業,338510,339607
2489,1110912,瑞軒,光電業,1318705,1025750
2492,1110912,華新科,電子零組件業,2639851,2840653
2493,1110912,揚博,電子零組件業,266951,264948
2495,1110912,普安,電腦及週邊設備業,134145,129078
2497,1110912,怡利電,汽車工業,350939,238981
2498,1110912,宏達電,通信網路業,312762,304518
2501,1110912,國建,建材營造,995485,2016943
2504,1110912,國產,建材營造,1819642,1832273
2505,1110912,國揚,建材營造,75144,270910
2509,1110912,全坤建,建材營造,18293,15901
2511,1110912,太子,建材營造,507511,1006171
2514,1110912,龍邦,其他,1072268,678320
2515,1110912,中工,建材營造,1397356,1219088
2516,1110912,新建,建材營造,565296,465864
2520,1110912,冠德,建材營造,1546557,1525880
2524,1110912,京城,建材營造,223376,135598
2527,1110912,宏璟,建材營造,108525,42295
2528,1110912,皇普,建材營造,44,10
2530,1110912,華建,建材營造,1017,1011
2534,1110912,宏盛,建材營造,290440,465493
2535,1110912,達欣工,建材營造,1529560,1324551
2536,1110912,宏普,建材營造,72044,13657
2537,1110912,聯上發,建材營造,145148,49400
2538,1110912,基泰,建材營造,23611,26987
2539,1110912,櫻花建,建材營造,2364287,732130
2540,1110912,愛山林,建材營造,461649,388128
2542,1110912,興富發,建材營造,343473,181592
2543,1110912,皇昌,建材營造,717050,633839
2545,1110912,皇翔,建材營造,361731,904436
2546,1110912,根基,建材營造,1339321,1261109
2547,1110912,日勝生,建材營造,612376,429425
2548,1110912,華固,建材營造,238563,1229035
